Ttr	Ttr
Vtn	Vtn
Cldn5	Cldn5
Lsamp	Lsamp
Enpp2	Enpp2
Flt1	Flt1
Acta2	Acta2
Bsg	Bsg
Ptn	Ptn
Cd74	Cd74
Ly6c1	Ly6c1
Nrxn3	Nrxn3
Il12b	Il12b
Ccl4	Ccl4
Nrxn1	Nrxn1
Apoe	Apoe
Tagln	Tagln
Lhfpl3	Lhfpl3
Pcdh9	Pcdh9
Slco1a4	Slco1a4
Rgs5	Rgs5
Cxcl12	Cxcl12
Kcnip4	Kcnip4
Gpc5	Gpc5
Itm2a	Itm2a
Cxcl2	Cxcl2
Spp1	Spp1
Klf2	Klf2
Atp1a2	Atp1a2
Mgp	Mgp
H2-Aa	H2-Aa
Slc1a2	Slc1a2
Apod	Apod
Mrc1	Mrc1
Csmd1	Csmd1
Spock2	Spock2
Sox2ot	Sox2ot
Pltp	Pltp
Ly6a	Ly6a
Opcml	Opcml
Dbi	Dbi
Sparcl1	Sparcl1
Lrrtm4	Lrrtm4
Igfbp7	Igfbp7
Ptprz1	Ptprz1
Lrrc4c	Lrrc4c
Serpine1	Serpine1
Slco1c1	Slco1c1
Il1b	Il1b
Meg3	Meg3
Ptprd	Ptprd
Fos	Fos
Nlgn1	Nlgn1
Nrg3	Nrg3
Atp13a5	Atp13a5
Cadm2	Cadm2
Anks1b	Anks1b
Ccl3	Ccl3
Ptprg	Ptprg
Dlc1	Dlc1
Mt3	Mt3
Sptbn1	Sptbn1
Tenm2	Tenm2
H2-Eb1	H2-Eb1
Tpm2	Tpm2
Kcnd2	Kcnd2
Ptprb	Ptprb
Plcb1	Plcb1
Dlg2	Dlg2
Adgrl4	Adgrl4
Crip1	Crip1
H2-Ab1	H2-Ab1
Rbfox1	Rbfox1
Erbb4	Erbb4
Myl9	Myl9
Cald1	Cald1
Dpp10	Dpp10
Tnf	Tnf
Adarb2	Adarb2
Csmd3	Csmd3
Ntm	Ntm
Ebf1	Ebf1
F13a1	F13a1
Lyz2	Lyz2
Ctla2a	Ctla2a
Igfbp2	Igfbp2
Dcn	Dcn
Lrp1b	Lrp1b
Adamts1	Adamts1
Myh11	Myh11
Atf3	Atf3
Cntnap2	Cntnap2
Ctnna2	Ctnna2
C1qa	C1qa
Jun	Jun
Tnr	Tnr
AY036118	AY036118
Reln	Reln
Cxcl10	Cxcl10
Trpm3	Trpm3
Igf1r	Igf1r
Il1a	Il1a
Ptgds	Ptgds
Slc2a1	Slc2a1
Clu	Clu
Ecrg4	Ecrg4
Syt1	Syt1
Id1	Id1
Mt1	Mt1
H3f3b	H3f3b
Itih5	Itih5
Ccl12	Ccl12
Pf4	Pf4
Nxph1	Nxph1
Npas3	Npas3
Abcb1a	Abcb1a
Nrgn	Nrgn
Lingo2	Lingo2
Mdga2	Mdga2
Egr1	Egr1
Pcdh15	Pcdh15
Grm7	Grm7
Snhg11	Snhg11
Adgrb3	Adgrb3
Luzp2	Luzp2
Dscam	Dscam
Cd83	Cd83
Fam155a	Fam155a
Robo2	Robo2
Il1rapl1	Il1rapl1
Ablim1	Ablim1
Ctsd	Ctsd
Nrg1	Nrg1
Ramp2	Ramp2
Csf1	Csf1
Auts2	Auts2
Fgf14	Fgf14
Mecom	Mecom
Ifrd1	Ifrd1
Junb	Junb
Nkain2	Nkain2
Ccl5	Ccl5
Hmcn1	Hmcn1
2900040C04Rik	2900040C04Rik
Nfkbiz	Nfkbiz
Grid2	Grid2
Pglyrp1	Pglyrp1
Ifitm3	Ifitm3
Hspb1	Hspb1
Id3	Id3
Ccl7	Ccl7
Magi2	Magi2
Nfib	Nfib
Prkg1	Prkg1
Meis2	Meis2
Epas1	Epas1
Tm4sf1	Tm4sf1
Hist1h1b	Hist1h1b
Gm42418	Gm42418
Icam1	Icam1
Sgms1	Sgms1
Fgf13	Fgf13
Tyrobp	Tyrobp
Dmd	Dmd
Sgcz	Sgcz
Dgkb	Dgkb
C1qb	C1qb
Ccl2	Ccl2
Vim	Vim
Plpp3	Plpp3
Aldoc	Aldoc
Nfkbia	Nfkbia
Sema3c	Sema3c
Car4	Car4
Timp3	Timp3
Htr2c	Htr2c
Fth1	Fth1
Sox11	Sox11
Plxdc2	Plxdc2
Tsc22d1	Tsc22d1
Ccdc141	Ccdc141
Ctnnd2	Ctnnd2
Cspg5	Cspg5
Higd1b	Higd1b
Syne1	Syne1
Chchd10	Chchd10
Fry	Fry
Ctss	Ctss
Adgrf5	Adgrf5
Ccl8	Ccl8
Fn1	Fn1
Tmsb4x	Tmsb4x
Ier2	Ier2
Plek	Plek
Dcc	Dcc
Cmss1	Cmss1
Gem	Gem
Ctnna3	Ctnna3
Sorbs2	Sorbs2
Cst3	Cst3
Rgs1	Rgs1
Rora	Rora
Tmtc2	Tmtc2
Clic4	Clic4
Cntn5	Cntn5
Btg2	Btg2
Grm5	Grm5
Kitl	Kitl
Atp10a	Atp10a
Tmsb10	Tmsb10
Slc6a6	Slc6a6
Dusp1	Dusp1
Stmn1	Stmn1
Lef1	Lef1
Hexb	Hexb
Nebl	Nebl
Slc6a20a	Slc6a20a
Abcc9	Abcc9
Utrn	Utrn
Ncam2	Ncam2
Kcnh7	Kcnh7
Nav3	Nav3
Adgrl3	Adgrl3
Myo1e	Myo1e
Gm38505	Gm38505
Tgfbr1	Tgfbr1
Tuba1a	Tuba1a
Dhx40	Dhx40
Pde8b	Pde8b
Gria2	Gria2
Grm3	Grm3
Egfl7	Egfl7
Dlgap1	Dlgap1
Rgs4	Rgs4
Itga1	Itga1
Ccl24	Ccl24
Pdgfra	Pdgfra
Abcg2	Abcg2
Negr1	Negr1
Nav2	Nav2
Rasgef1b	Rasgef1b
Cd209f	Cd209f
Gpcpd1	Gpcpd1
Dab2	Dab2
Pdgfrb	Pdgfrb
Mapkapk2	Mapkapk2
Gpnmb	Gpnmb
Kcnq5	Kcnq5
Skap1	Skap1
Slc16a1	Slc16a1
Lrrc7	Lrrc7
Zfp36	Zfp36
Brinp3	Brinp3
Fosb	Fosb
Olig1	Olig1
Ccl6	Ccl6
Gng11	Gng11
Sgcd	Sgcd
Tjp1	Tjp1
Wfdc17	Wfdc17
Gkn3	Gkn3
Itk	Itk
Dlx6os1	Dlx6os1
Folr1	Folr1
Kirrel3	Kirrel3
C1qc	C1qc
Ier3	Ier3
Calm1	Calm1
Errfi1	Errfi1
Slc39a10	Slc39a10
Dnm3	Dnm3
Ppp1r15a	Ppp1r15a
Galntl6	Galntl6
Macrod2	Macrod2
Slc4a4	Slc4a4
Gabrb1	Gabrb1
Cntn4	Cntn4
Myl6	Myl6
Klf4	Klf4
Penk	Penk
Tnfaip2	Tnfaip2
S100a6	S100a6
Jcad	Jcad
Tnfaip3	Tnfaip3
Hist1h2ap	Hist1h2ap
Dennd4a	Dennd4a
Hist1h2bc	Hist1h2bc
Tpm1	Tpm1
Prom1	Prom1
Top2a	Top2a
Hs6st3	Hs6st3
Nnat	Nnat
Map1b	Map1b
Arhgap31	Arhgap31
Ccnd2	Ccnd2
Pde4b	Pde4b
Cpe	Cpe
Sept4	Sept4
Sostdc1	Sostdc1
Pde3b	Pde3b
Vcam1	Vcam1
Ncam1	Ncam1
Gbp5	Gbp5
Calml4	Calml4
Igf2	Igf2
Akap12	Akap12
Nlrp3	Nlrp3
Cd79a	Cd79a
Malt1	Malt1
Snap25	Snap25
Srgn	Srgn
Tanc2	Tanc2
Lpl	Lpl
Frmpd4	Frmpd4
Grik2	Grik2
